[12:09:23] [main/ERROR]: Failed to load properties from file: server.properties
[12:09:23] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:09:24] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:09:24] [main/INFO]: Reloading ResourceManager: Default
[12:09:25] [Worker-Main-14/INFO]: Loaded 7 recipes
[12:09:25] [Worker-Main-14/INFO]: Loaded 927 advancements
[12:09:27] [Server thread/INFO]: Starting minecraft server version 1.16.5
[12:09:27] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[12:09:27] [Server thread/INFO]: Loading properties
[12:09:27] [Server thread/INFO]: Default game type: SURVIVAL
[12:09:27] [Server thread/INFO]: Generating keypair
[12:09:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:09:28] [Server thread/INFO]: Using default channel type
[12:09:29] [Server thread/INFO]: Preparing level "world"
[12:09:41] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:09:41] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[12:09:42] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[12:09:42] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[12:09:43] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[12:09:43] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[12:09:44] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[12:09:44] [Worker-Main-15/INFO]: Preparing spawn area: 0%
[12:09:45] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[12:09:45] [Worker-Main-11/INFO]: Preparing spawn area: 1%
[12:09:46] [Worker-Main-9/INFO]: Preparing spawn area: 1%
[12:09:46] [Worker-Main-15/INFO]: Preparing spawn area: 1%
[12:09:47] [Worker-Main-9/INFO]: Preparing spawn area: 1%
[12:09:47] [Worker-Main-11/INFO]: Preparing spawn area: 1%
[12:09:48] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[12:09:49] [Worker-Main-11/INFO]: Preparing spawn area: 1%
[12:09:49] [Worker-Main-11/INFO]: Preparing spawn area: 1%
[12:09:49] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[12:09:50] [Worker-Main-9/INFO]: Preparing spawn area: 1%
[12:09:50] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:51] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:51] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:52] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:09:52] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:09:53] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:53] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:09:54] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:09:54] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:55] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:09:56] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:09:56] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:57] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:57] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:09:57] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:09:58] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:09:58] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:59] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[12:09:59] [Worker-Main-11/INFO]: Preparing spawn area: 4%
[12:10:00] [Worker-Main-15/INFO]: Preparing spawn area: 4%
[12:10:00] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:10:01] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:10:02] [Worker-Main-15/INFO]: Preparing spawn area: 4%
[12:10:02] [Worker-Main-15/INFO]: Preparing spawn area: 4%
[12:10:03] [Worker-Main-15/INFO]: Preparing spawn area: 4%
[12:10:03] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:10:04] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:10:04] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:10:04] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:10:05] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[12:10:05] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:10:06] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:10:06] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:10:07] [Worker-Main-15/INFO]: Preparing spawn area: 4%
[12:10:07] [Worker-Main-9/INFO]: Preparing spawn area: 4%
[12:10:08] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[12:10:08] [Worker-Main-15/INFO]: Preparing spawn area: 4%
[12:10:09] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[12:10:09] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[12:10:10] [Worker-Main-10/INFO]: Preparing spawn area: 9%
[12:10:11] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[12:10:11] [Worker-Main-12/INFO]: Preparing spawn area: 9%
[12:10:11] [Worker-Main-15/INFO]: Preparing spawn area: 9%
[12:10:12] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:12] [Worker-Main-11/INFO]: Preparing spawn area: 10%
[12:10:13] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:13] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:14] [Worker-Main-8/INFO]: Preparing spawn area: 10%
[12:10:14] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[12:10:15] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:15] [Worker-Main-15/INFO]: Preparing spawn area: 10%
[12:10:16] [Worker-Main-11/INFO]: Preparing spawn area: 10%
[12:10:16] [Worker-Main-8/INFO]: Preparing spawn area: 10%
[12:10:17] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[12:10:18] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:19] [Worker-Main-12/INFO]: Preparing spawn area: 10%
[12:10:20] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[12:10:20] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:20] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:20] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:20] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:21] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[12:10:22] [Worker-Main-13/INFO]: Preparing spawn area: 10%
[12:10:22] [Worker-Main-13/INFO]: Preparing spawn area: 10%
